epoch,time,vertice_loss,facet_loss,vertice_error,facet_error,lr
339,11:57:02,0.1073,0.1204,0.0725,4.6258,0.00096665
340,11:59:07,0.1079,0.1463,0.0729,5.6739,0.00096656
350,12:20:01,0.1103,0.1231,0.0746,4.7267,0.00096559
356,12:32:31,0.1069,0.1201,0.0722,4.6128,0.00096501
358,12:36:42,0.1067,0.1196,0.0722,4.5976,0.00096482
360,12:40:52,0.1082,0.1242,0.0733,4.7678,0.00096462
370,13:01:45,0.1076,0.12,0.0727,4.6098,0.00096366
380,13:22:39,0.1088,0.1304,0.0735,5.0076,0.00096269
386,13:35:10,0.1045,0.1193,0.0708,4.5854,0.00096212
390,13:43:35,0.1135,0.1292,0.0766,4.963,0.00096173
400,14:04:33,0.1094,0.1225,0.074,4.7032,0.00096077
410,14:25:29,0.1096,0.1221,0.074,4.6898,0.00095981
420,14:46:21,0.1081,0.1242,0.0731,4.7749,0.00095885
430,15:07:18,0.1066,0.1215,0.0722,4.666,0.00095789
440,15:28:10,0.106,0.1209,0.0718,4.6463,0.00095693
450,15:49:04,0.107,0.1214,0.0725,4.6622,0.00095598
459,16:07:51,0.1108,0.1193,0.0747,4.5828,0.00095512
460,16:09:55,0.1079,0.1221,0.0731,4.6937,0.00095502
470,16:30:47,0.1064,0.1297,0.0719,4.992,0.00095406
480,16:51:40,0.1077,0.1227,0.0728,4.7148,0.00095311
481,16:53:45,0.1059,0.119,0.0716,4.574,0.00095302
490,17:12:35,0.106,0.1253,0.0716,4.8094,0.00095216
500,17:33:32,0.105,0.1243,0.071,4.78,0.00095121
502,17:38:24,0.1045,0.119,0.0707,4.5722,0.00095102
504,17:43:20,0.1047,0.1188,0.0708,4.5617,0.00095083
510,18:01:09,0.1031,0.1266,0.0697,4.8809,0.00095025
518,18:20:11,0.1039,0.1181,0.0702,4.535,0.00094949
520,18:25:04,0.108,0.1238,0.0729,4.7628,0.0009493
530,18:49:30,0.1051,0.1185,0.0709,4.5547,0.00094835
540,19:13:55,0.1044,0.1192,0.0707,4.5736,0.00094741
550,19:38:20,0.1048,0.1199,0.0707,4.6086,0.00094646
560,20:01:30,0.1038,0.1327,0.0701,5.0893,0.00094551
570,20:22:24,0.1054,0.1193,0.0711,4.5837,0.00094457
580,20:43:18,0.1082,0.1198,0.0729,4.6037,0.00094362
590,21:04:11,0.1035,0.1328,0.07,5.0975,0.00094268
600,21:25:15,0.1028,0.1212,0.0694,4.6589,0.00094174
604,21:33:38,0.1055,0.1175,0.0715,4.5115,0.00094136
610,21:46:09,0.1027,0.1195,0.0694,4.5888,0.00094079
620,22:07:06,0.1036,0.1198,0.07,4.6048,0.00093985
630,22:28:03,0.1106,0.1284,0.0748,4.9276,0.00093891
640,22:49:01,0.1079,0.144,0.0727,5.528,0.00093797
650,23:09:53,0.1034,0.1179,0.0698,4.5266,0.00093704
660,23:30:56,0.103,0.1192,0.0696,4.5787,0.0009361
670,23:51:54,0.1138,0.1211,0.0768,4.6533,0.00093516
678,1day0:08:36,0.1011,0.1173,0.0683,4.5064,0.00093442
679,1day0:10:41,0.1026,0.1172,0.0693,4.4993,0.00093432
680,1day0:12:46,0.1031,0.1176,0.0696,4.517,0.00093423
690,1day0:33:40,0.1046,0.1179,0.0706,4.5281,0.00093329
700,1day0:54:36,0.1034,0.12,0.0698,4.6102,0.00093236
710,1day1:15:31,0.103,0.1184,0.0696,4.5473,0.00093143
712,1day1:19:43,0.1016,0.1163,0.0688,4.4688,0.00093124
720,1day1:36:29,0.1038,0.1205,0.0701,4.6301,0.0009305
730,1day1:57:20,0.1026,0.1182,0.0693,4.5371,0.00092957
740,1day2:18:13,0.1018,0.117,0.0689,4.4947,0.00092864
750,1day2:39:06,0.1036,0.1181,0.07,4.5383,0.00092771
760,1day2:59:53,0.1045,0.1231,0.0705,4.7247,0.00092678
770,1day3:20:45,0.1016,0.118,0.0688,4.5333,0.00092585
780,1day3:41:48,0.1062,0.1181,0.0717,4.5385,0.00092493
790,1day4:02:35,0.1039,0.1176,0.0702,4.5178,0.000924
800,1day4:23:22,0.1042,0.1213,0.0706,4.658,0.00092308
810,1day4:44:11,0.1011,0.1196,0.0683,4.5911,0.00092216
820,1day5:05:03,0.1037,0.1174,0.0701,4.5078,0.00092123
830,1day5:25:58,0.102,0.1168,0.0689,4.4871,0.00092031
840,1day5:46:52,0.1052,0.1176,0.0709,4.5155,0.00091939
850,1day6:07:44,0.1032,0.1176,0.0697,4.519,0.00091847
860,1day6:28:36,0.1023,0.1193,0.0691,4.5814,0.00091755
868,1day6:45:15,0.1017,0.1163,0.0687,4.4684,0.00091682
870,1day6:49:26,0.1031,0.1178,0.0696,4.526,0.00091664
880,1day7:10:18,0.1018,0.1222,0.0687,4.6902,0.00091572
889,1day7:29:05,0.1007,0.1161,0.068,4.4595,0.0009149
890,1day7:31:09,0.1033,0.1197,0.0698,4.5898,0.0009148
900,1day7:52:00,0.1004,0.1186,0.0679,4.5563,0.00091389
910,1day8:12:47,0.1017,0.1164,0.0687,4.4709,0.00091298
920,1day8:33:37,0.104,0.1172,0.0702,4.5007,0.00091206
930,1day8:54:25,0.1046,0.1172,0.0705,4.5043,0.00091115
940,1day9:15:26,0.1026,0.1167,0.0695,4.481,0.00091024
950,1day9:36:15,0.1074,0.1173,0.0724,4.5074,0.00090933
960,1day9:57:08,0.1006,0.1172,0.068,4.5006,0.00090842
970,1day10:18:07,0.1126,0.1238,0.0758,4.7569,0.00090751
980,1day10:39:02,0.1037,0.1175,0.07,4.5096,0.0009066
990,1day10:59:56,0.1037,0.1177,0.07,4.5213,0.0009057
996,1day11:12:27,0.1015,0.116,0.0684,4.4558,0.00090515
