epoch,Time,vertice_loss,facet_loss,vertice_error,facet_error,lr
490,8:27:35,0.0948,0.1172, 0.0639,4.5011,lr:9.8985e-04
500,9:15:29,0.0985,0.1192, 0.0665,4.582,lr:9.8886e-04
510,10:03:20,0.0965,0.1222, 0.0652,4.6917,lr:9.8787e-04
520,10:51:13,0.0996,0.1209, 0.0672,4.6485,lr:9.8688e-04
530,11:39:03,0.0958,0.1196, 0.0647,4.5925,lr:9.8589e-04
532,11:48:34,0.0960,0.1169, 0.0649,4.4894,lr:9.8570e-04
540,12:26:51,0.1000,0.1172, 0.0675,4.502,lr:9.8491e-04
543,12:41:12,0.0950,0.1158, 0.0643,4.4468,lr:9.8461e-04
550,13:14:53,0.1119,0.1256, 0.0756,4.8231,lr:9.8392e-04
560,14:02:48,0.0965,0.1277, 0.0652,4.8925,lr:9.8294e-04
570,14:50:44,0.0977,0.1186, 0.0660,4.5577,lr:9.8196e-04
580,15:38:42,0.0962,0.1175, 0.0649,4.5142,lr:9.8097e-04
590,16:26:37,0.0988,0.122, 0.0667,4.6853,lr:9.7999e-04
600,17:14:33,0.0964,0.1244, 0.0650,4.7838,lr:9.7901e-04
610,18:02:30,0.0932,0.1163, 0.0630,4.4681,lr:9.7803e-04
620,18:50:28,0.0942,0.121, 0.0636,4.6445,lr:9.7706e-04
627,19:24:00,0.0937,0.1156, 0.0633,4.44,lr:9.7637e-04
630,19:38:23,0.0968,0.1171, 0.0654,4.4984,lr:9.7608e-04
640,20:26:22,0.0979,0.118, 0.0662,4.5315,lr:9.7510e-04
650,21:14:16,0.0942,0.1159, 0.0636,4.4546,lr:9.7413e-04
660,22:02:10,0.0963,0.1197, 0.0651,4.5925,lr:9.7315e-04
670,22:50:05,0.0985,0.118, 0.0665,4.5291,lr:9.7218e-04
680,23:38:03,0.0960,0.1179, 0.0647,4.5306,lr:9.7121e-04
690,1day0:26:23,0.0978,0.1169, 0.0660,4.4892,lr:9.7024e-04
700,1day1:14:19,0.0924,0.1154, 0.0624,4.4351,lr:9.6927e-04
710,0:54:04,0.0938,0.1171, 0.0633,4.4962,lr:9.9900e-04
720,1:47:45,0.0962,0.129, 0.0650,4.9488,lr:9.9800e-04
730,2:41:24,0.0950,0.1186, 0.0640,4.5591,lr:9.9700e-04
732,2:52:08,0.0942,0.1151, 0.0636,4.4211,lr:9.9680e-04
740,3:35:03,0.0938,0.1154, 0.0634,4.4322,lr:9.9601e-04
750,4:28:43,0.0964,0.1167, 0.0650,4.4827,lr:9.9501e-04
760,5:22:23,0.0941,0.1168, 0.0634,4.4871,lr:9.9401e-04
770,6:16:03,0.0966,0.1293, 0.0652,4.9536,lr:9.9302e-04
780,7:09:57,0.0959,0.1307, 0.0646,5.0077,lr:9.9203e-04
790,8:04:21,0.0954,0.1171, 0.0643,4.4986,lr:9.9104e-04
800,8:58:49,0.0969,0.1168, 0.0653,4.4889,lr:9.9004e-04
808,9:42:23,0.0924,0.1147, 0.0623,4.4025,lr:9.8925e-04
810,9:53:16,0.1024,0.1197, 0.0691,4.6051,lr:9.8905e-04
820,10:47:50,0.0942,0.1158, 0.0637,4.4496,lr:9.8807e-04
830,11:42:18,0.0954,0.1166, 0.0643,4.4779,lr:9.8708e-04
840,12:36:45,0.0930,0.1191, 0.0629,4.5723,lr:9.8609e-04
850,13:31:11,0.0943,0.121, 0.0637,4.6467,lr:9.8510e-04
860,14:25:40,0.0951,0.1201, 0.0642,4.6138,lr:9.8412e-04
870,15:20:06,0.0952,0.1163, 0.0641,4.4643,lr:9.8314e-04
880,16:14:37,0.0945,0.1155, 0.0638,4.4317,lr:9.8215e-04
885,16:41:51,0.0918,0.1144, 0.0619,4.3926,lr:9.8166e-04
890,17:09:03,0.0957,0.1169, 0.0646,4.4919,lr:9.8117e-04
900,18:03:29,0.0956,0.1162, 0.0643,4.4647,lr:9.8019e-04
910,18:57:57,0.0938,0.1158, 0.0634,4.4471,lr:9.7921e-04
920,19:52:24,0.0929,0.1145, 0.0627,4.3976,lr:9.7823e-04
930,20:47:11,0.0950,0.1175, 0.0641,4.5114,lr:9.7725e-04
937,21:25:17,0.0932,0.1143, 0.0628,4.3903,lr:9.7657e-04
940,0:14:24,0.0968,0.1168, 0.0652,4.4873,lr:9.9970e-04
945,0:37:34,0.0923,0.1142, 0.0623,4.3865,lr:9.9920e-04
950,1:00:45,0.0926,0.1159, 0.0626,4.4507,lr:9.9870e-04
960,1:47:01,0.0956,0.1183, 0.0646,4.5505,lr:9.9770e-04
970,2:33:16,0.0991,0.1181, 0.0669,4.5377,lr:9.9670e-04
980,3:19:30,0.0919,0.1146, 0.0620,4.4018,lr:9.9571e-04
990,4:05:44,0.0926,0.1164, 0.0625,4.4731,lr:9.9471e-04
992,4:14:57,0.0914,0.1142, 0.0617,4.3854,lr:9.9451e-04
